elem,phi,nws,v,acf,rp,dh_trans,tab2a
Sc,3.25,2.05,15.03,0.07,0.7,0,1
Ti,3.8,3.51,10.58,0.04,1,0,1
V,4.25,4.41,8.36,0.04,1,0,1
Cr,4.65,5.18,7.23,0.04,1,0,1
Mn,4.45,4.17,7.35,0.04,1,0,1
Fe,4.93,5.55,7.09,0.04,1,0,1
Co,5.1,5.36,6.7,0.04,1,0,1
Ni,5.2,5.36,6.6,0.04,1,0,1
Y,3.2,1.77,19.9,0.07,0.7,0,1
Zr,3.45,2.8,14,0.04,1,0,1
Nb,4.05,4.41,10.8,0.04,1,0,1
Mo,4.65,5.55,9.4,0.04,1,0,1
Ru,5.4,6.13,8.2,0.04,1,0,1
Rh,5.4,5.45,8.3,0.04,1,0,1
Pd,5.45,4.66,8.9,0.04,1,0,1
La,3.17,1.64,22.55,0.07,0.7,0,1
Ce,3.18,1.69,21.62,0.07,0.7,0,1
Pr,3.19,1.73,20.79,0.07,0.7,0,1
Nd,3.19,1.73,20.58,0.07,0.7,0,1
Pm,3.19,1.77,20.25,0.07,0.7,0,1
Sm,3.2,1.77,20.01,0.07,0.7,0,1
Eu,3.2,1.77,19.97,0.07,0.7,0,1
Gd,3.2,1.77,19.9,0.07,0.7,0,1
Tb,3.21,1.82,19.32,0.07,0.7,0,1
Dy,3.21,1.82,19,0.07,0.7,0,1
Ho,3.22,1.82,18.76,0.07,0.7,0,1
Er,3.22,1.86,18.45,0.07,0.7,0,1
Tm,3.22,1.86,18.12,0.07,0.7,0,1
Yb,3.22,1.86,17.97,0.07,0.7,0,1
Lu,3.22,1.91,17.77,0.07,0.7,0,1
Hf,3.6,3.05,13.45,0.04,1,0,1
Ta,4.05,4.33,10.81,0.04,1,0,1
W,4.8,5.93,9.55,0.04,1,0,1
Re,5.2,6.33,8.85,0.04,1,0,1
Os,5.4,6.33,8.45,0.04,1,0,1
Ir,5.55,6.13,8.52,0.04,1,0,1
Pt,5.65,5.64,9.1,0.04,1,0,1
Th,3.3,2.1,19.8,0.04,0.7,0,1
U,3.9,3.44,13.15,0.04,1,0,1
Cu,4.45,3.18,7.12,0.07,0.3,0,1
Ag,4.35,2.52,10.25,0.07,0.15,0,1
Au,5.15,3.87,10.2,0.07,0.3,0,1
H,5.2,3.38,1.7,0.14,3.9,100,0
Li,2.85,0.94,13,0.14,0,0,0
Na,2.7,0.55,23.78,0.14,0,0,0
K,2.25,0.27,45.63,0.14,0,0,0
Rb,2.1,0.22,56.07,0.14,0,0,0
Cs,1.95,0.17,69.23,0.14,0,0,0
Be,5.05,4.66,4.9,0.1,0.4,0,0
Mg,3.45,1.6,14,0.1,0.7,0,0
Ca,2.55,0.75,26.2,0.1,0.4,0,1
Sr,2.4,0.59,33.93,0.1,0.4,0,1
Ba,2.32,0.53,38.1,0.1,0.5,0,1
Zn,4.1,2.3,9.17,0.1,1.4,0,0
Cd,4.05,1.91,13,0.1,1.4,0,0
Hg,4.2,1.91,14.08,0.1,1.4,0,0
B,5.3,5.36,4.7,0.07,1.9,30,0
Al,4.2,2.7,10,0.07,1.9,0,0
Ga,4.1,2.25,11.82,0.07,1.9,0,0
In,3.9,1.6,15.75,0.07,1.9,0,0
Tl,3.9,1.4,17.23,0.07,1.9,0,0
C,6.24,5.55,3.25,0.04,2.1,180,0
Si,4.7,3.38,8.6,0.04,2.1,34,0
Ge,4.55,2.57,9.87,0.04,2.1,25,0
Sn,4.15,1.9,16.3,0.04,2.1,0,0
Pb,4.1,1.52,18.28,0.04,2.1,0,0
N,6.86,4.49,4.1,0.04,2.3,310,0
P,5.55,4.49,8.6,0.04,2.3,17,0
As,4.8,3,11.85,0.04,2.3,0,0
Sb,4.4,2,16.95,0.04,2.3,0,0
Bi,4.15,1.56,19.32,0.04,2.3,0,0
Se,5.85,3.51,10.42,0.04,2.3,0,0
Te,5.30,3.24,12.20,0.04,2.3,0,0
